entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.751,0.3286,0.1211,0.04515,0.02704,0.05415,0.01483,0.02464,0.01852,0.007606,0.0297,0.3466,0.3107,
1.75,0.3295,0.1202,0.04505,0.02704,0.05468,0.0148,0.0246,0.01848,0.007593,0.02965,0.3477,0.3102,
1.755,0.3277,0.1201,0.04508,0.02712,0.05468,0.01501,0.02438,0.01848,0.007593,0.03144,0.3459,0.3102,
1.759,0.3287,0.1201,0.04512,0.02712,0.05468,0.01501,0.02438,0.01848,0.008433,0.03187,0.3446,0.3102,
1.762,0.3214,0.12,0.04516,0.02716,0.05468,0.01501,0.02438,0.01848,0.008433,0.03317,0.3433,0.3102,
1.764,0.3199,0.12,0.04509,0.02728,0.05435,0.01502,0.0246,0.01828,0.008435,0.03431,0.3423,0.3103,
1.764,0.3176,0.12,0.04507,0.0273,0.05435,0.01502,0.0246,0.01873,0.007983,0.03431,0.3423,0.3103,
1.762,0.3194,0.1195,0.04499,0.02724,0.05416,0.01497,0.02452,0.01867,0.007955,0.03419,0.3446,0.3092,
1.76,0.3182,0.1193,0.04488,0.02725,0.05407,0.01494,0.02448,0.01864,0.007942,0.03413,0.3457,0.3087,
1.76,0.3157,0.1191,0.0447,0.0273,0.05398,0.01492,0.02444,0.0186,0.008139,0.03386,0.3468,0.3082,
1.762,0.3088,0.1188,0.04449,0.0274,0.05388,0.01489,0.02439,0.01857,0.008439,0.03472,0.3467,0.3076,
1.762,0.3096,0.1188,0.04447,0.02743,0.05388,0.01489,0.02439,0.01857,0.008649,0.03451,0.3467,0.3076,
1.762,0.3101,0.1186,0.04414,0.02718,0.05379,0.01486,0.02435,0.01854,0.009264,0.03434,0.3473,0.3076,
1.757,0.2992,0.1181,0.04403,0.0263,0.0536,0.01481,0.02427,0.02002,0.008122,0.03379,0.3496,0.3073,
1.756,0.2696,0.1175,0.04375,0.02624,0.05332,0.01473,0.02414,0.01991,0.01034,0.03136,0.353,0.3057,
1.755,0.2789,0.1173,0.0436,0.0263,0.05308,0.01492,0.02389,0.01988,0.01074,0.03089,0.3542,0.3052,
1.763,0.2767,0.1173,0.04341,0.02636,0.05309,0.01492,0.0239,0.02027,0.01084,0.03383,0.3508,0.3053,
1.765,0.2808,0.1172,0.04338,0.02645,0.05309,0.01492,0.0239,0.02228,0.009453,0.03393,0.3501,0.3053,
1.765,0.2862,0.117,0.04323,0.0265,0.05299,0.0197,0.01905,0.02224,0.01016,0.03314,0.3513,0.3047,
1.762,0.2836,0.1164,0.04296,0.0264,0.05258,0.0196,0.01916,0.02192,0.01054,0.03255,0.3547,0.3032,
1.76,0.2819,0.1161,0.04292,0.02644,0.05268,0.019,0.01937,0.02172,0.01054,0.03255,0.3548,0.3038,
1.766,0.2816,0.1162,0.04291,0.0265,0.05219,0.01901,0.01938,0.02193,0.01034,0.03533,0.3522,0.304,
1.766,0.27,0.1161,0.04268,0.02655,0.05221,0.01901,0.01939,0.02194,0.01034,0.03535,0.3523,0.3041,
1.763,0.2705,0.1157,0.04241,0.02658,0.05202,0.01871,0.01911,0.02186,0.01099,0.03453,0.3546,0.3035,
1.768,0.2655,0.1154,0.04236,0.02555,0.05163,0.01897,0.01879,0.02183,0.01098,0.03865,0.3517,0.3041,
1.768,0.2641,0.1151,0.04219,0.02548,0.05118,0.01845,0.01873,0.02176,0.0118,0.03919,0.3526,0.3036,
1.766,0.268,0.1151,0.04215,0.02553,0.05103,0.018,0.01852,0.02177,0.0118,0.0392,0.3526,0.3043,
1.772,0.2633,0.1148,0.04208,0.02552,0.05094,0.01797,0.01849,0.02173,0.01178,0.04232,0.3506,0.3038,
1.782,0.307,0.11,0.04689,0.02553,0.05094,0.01797,0.01849,0.02173,0.01281,0.04334,0.3485,0.3038,
1.787,0.3052,0.11,0.04682,0.02533,0.05094,0.01797,0.01849,0.02193,0.0126,0.04612,0.3458,0.3041,
1.791,0.3114,0.1099,0.04677,0.0254,0.05094,0.01797,0.01849,0.0221,0.01244,0.04802,0.3439,0.3041,
1.798,0.3134,0.1099,0.04663,0.02558,0.05094,0.01797,0.01865,0.02193,0.01278,0.05142,0.3401,0.3041,
1.792,0.3142,0.1099,0.04649,0.02561,0.05095,0.02891,0.007722,0.02194,0.01322,0.05099,0.3402,0.3041,
1.801,0.3208,0.1099,0.04636,0.02575,0.05095,0.02891,0.007927,0.02173,0.01502,0.0523,0.3371,0.3041,
1.802,0.3181,0.1098,0.04635,0.02581,0.05079,0.02892,0.007929,0.02174,0.01574,0.05159,0.3371,0.3042,
1.803,0.3167,0.1091,0.04623,0.02495,0.05116,0.02921,0.007576,0.0217,0.01572,0.05421,0.3356,0.3045,
1.804,0.3173,0.1087,0.04623,0.02505,0.05145,0.02921,0.007576,0.0217,0.01572,0.05421,0.3356,0.3045,
1.803,0.3189,0.1085,0.04615,0.02505,0.05137,0.02916,0.007563,0.02191,0.01599,0.05358,0.3367,0.304,
1.801,0.2962,0.1083,0.04604,0.02508,0.05096,0.02913,0.007553,0.02188,0.01597,0.05351,0.3379,0.3036,
1.808,0.2952,0.1083,0.04604,0.02511,0.05096,0.02913,0.007553,0.02188,0.01788,0.05401,0.3355,0.3036,
1.807,0.3043,0.108,0.04606,0.02507,0.05072,0.02866,0.007542,0.02185,0.01854,0.05324,0.3367,0.3036,
1.81,0.2957,0.108,0.04608,0.02509,0.05072,0.02866,0.007542,0.02185,0.01923,0.05405,0.3352,0.3036,
1.81,0.2975,0.1076,0.04604,0.02516,0.0511,0.02866,0.007542,0.02185,0.01923,0.05405,0.3352,0.3036,
1.815,0.3002,0.1076,0.04598,0.02526,0.05083,0.02867,0.007746,0.02192,0.01937,0.05595,0.333,0.3037,
1.813,0.3015,0.1072,0.04583,0.02523,0.05066,0.02857,0.00772,0.02185,0.02011,0.05496,0.3352,0.3027,
1.814,0.3002,0.1067,0.04574,0.02535,0.05105,0.02857,0.00772,0.02185,0.02051,0.05456,0.3352,0.3027,
1.818,0.3262,0.1021,0.05016,0.02552,0.05105,0.02857,0.00772,0.02185,0.02089,0.05419,0.3352,0.3027,
1.82,0.3273,0.1021,0.05024,0.02553,0.05105,0.02857,0.00772,0.02185,0.02228,0.0528,0.3352,0.3027,
1.819,0.3317,0.1017,0.05005,0.02556,0.05103,0.02853,0.007925,0.0216,0.02224,0.05272,0.3364,0.3022,
