FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3801.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,3901.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4001.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4101.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4201.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4301.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4401.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4501.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4601.0,342188.0,
5.54655E-6,0.436028,0.478353,0.138583,24431.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0693E-9,2.55669E-5,24431.1,0.0,0.0,0.0,1.0,4.15818E-4,0.0,0.0,7.3507,0.0,0.0,14.2605,0.0,4701.0,342188.0,
