RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.576E7,5253000.0,4253000.0,8242000.0,1292000.0,290000.0,228400.0,710700.0,2198000.0,0.0,6.001E7,6.016E7,
1.592E7,5255000.0,4258000.0,8252000.0,1277000.0,290000.0,228400.0,787500.0,2263000.0,0.0,6.001E7,5.999E7,
1.586E7,5247000.0,4265000.0,8269000.0,1277000.0,290000.0,228400.0,787500.0,2263000.0,0.0,6.001E7,6.001E7,
1.575E7,5230000.0,4265000.0,8281000.0,1263000.0,290000.0,228400.0,787500.0,2263000.0,0.0,6.001E7,6.011E7,
1.584E7,5213000.0,4270000.0,8302000.0,1258000.0,288800.0,226900.0,785700.0,2315000.0,0.0,5.995E7,5.999E7,
1.571E7,5208000.0,4274000.0,8385000.0,1258000.0,288800.0,226900.0,785700.0,2405000.0,0.0,6.001E7,6.001E7,
1.565E7,5224000.0,4283000.0,8383000.0,1258000.0,288700.0,226900.0,796200.0,2432000.0,0.0,6.001E7,5.999E7,
1.558E7,5227000.0,4285000.0,8383000.0,1246000.0,292600.0,223000.0,796200.0,2432000.0,0.0,6.001E7,6.001E7,
1.54E7,5244000.0,4288000.0,8431000.0,1221000.0,292500.0,223000.0,813200.0,2415000.0,0.0,6.001E7,6.01E7,
1.544E7,5247000.0,4294000.0,8454000.0,1226000.0,287700.0,223000.0,813200.0,2554000.0,0.0,6.001E7,5.999E7,
1.535E7,5246000.0,4292000.0,8485000.0,1226000.0,287700.0,229000.0,840200.0,2508000.0,0.0,6.001E7,6.002E7,
1.523E7,5267000.0,4301000.0,8515000.0,1226000.0,287600.0,229000.0,926900.0,2422000.0,0.0,6.001E7,6.005E7,
1.525E7,5274000.0,4308000.0,8529000.0,1226000.0,287600.0,228900.0,926900.0,2550000.0,0.0,6.001E7,5.997E7,
1.515E7,5280000.0,4317000.0,8567000.0,1226000.0,292400.0,228900.0,922000.0,2577000.0,0.0,6.001E7,6.001E7,
1.501E7,5297000.0,4324000.0,8625000.0,1240000.0,278300.0,228900.0,922000.0,2577000.0,0.0,6.001E7,6.003E7,
1.331E7,6986000.0,4328000.0,8687000.0,1240000.0,278300.0,228900.0,942200.0,2732000.0,0.0,6.001E7,5.995E7,
1.325E7,6982000.0,4338000.0,8723000.0,1240000.0,278300.0,228900.0,973500.0,2783000.0,0.0,6.001E7,5.995E7,
1.311E7,6988000.0,4323000.0,8794000.0,1236000.0,277300.0,227700.0,972000.0,2848000.0,0.0,6.001E7,5.999E7,
1.304E7,7001000.0,4327000.0,8820000.0,1241000.0,272500.0,227700.0,985100.0,2959000.0,0.0,6.001E7,5.999E7,
1.299E7,7002000.0,4336000.0,8824000.0,1246000.0,267600.0,232500.0,1012000.0,2928000.0,0.0,6.001E7,6.001E7,
1.288E7,7004000.0,4340000.0,8859000.0,1254000.0,259500.0,232400.0,1037000.0,2903000.0,0.0,6.001E7,6.003E7,
1.282E7,6972000.0,4345000.0,8901000.0,1254000.0,259500.0,232400.0,1089000.0,2964000.0,0.0,6.001E7,6.002E7,
1.279E7,6963000.0,4335000.0,8919000.0,1254000.0,259400.0,232400.0,1121000.0,2966000.0,0.0,6.001E7,6.001E7,
1.276E7,6951000.0,4340000.0,8934000.0,1254000.0,259400.0,232400.0,1133000.0,3041000.0,0.0,6.001E7,5.999E7,
1.261E7,6956000.0,4344000.0,8978000.0,1254000.0,259400.0,232400.0,1139000.0,3013000.0,0.0,6.001E7,6.005E7,
1.26E7,6944000.0,4340000.0,9001000.0,1254000.0,259400.0,240400.0,1141000.0,3031000.0,0.0,6.001E7,6.001E7,
1.26E7,6920000.0,4348000.0,9056000.0,1254000.0,259400.0,246400.0,1158000.0,3097000.0,0.0,6.001E7,5.995E7,
1.25E7,6914000.0,4351000.0,9086000.0,1248000.0,257800.0,246400.0,1201000.0,3054000.0,0.0,6.001E7,6.001E7,
1.238E7,6925000.0,4362000.0,9133000.0,1245000.0,253200.0,246400.0,1214000.0,3004000.0,0.0,6.001E7,6.004E7,
1.224E7,6928000.0,4370000.0,9200000.0,1245000.0,253100.0,252300.0,1208000.0,3004000.0,0.0,6.001E7,6.007E7,
1.215E7,6938000.0,4373000.0,9232000.0,1245000.0,253100.0,264400.0,1208000.0,2969000.0,0.0,6.003E7,6.009E7,
1.216E7,6972000.0,4376000.0,9283000.0,1245000.0,253100.0,264400.0,1214000.0,3132000.0,0.0,6.001E7,5.998E7,
1.193E7,6996000.0,4379000.0,9298000.0,1237000.0,253100.0,264400.0,1220000.0,3126000.0,0.0,6.001E7,6.01E7,
1.184E7,7004000.0,4382000.0,9312000.0,1237000.0,253100.0,269100.0,1259000.0,3082000.0,0.0,6.001E7,6.014E7,
1.181E7,7005000.0,4384000.0,9306000.0,1237000.0,253100.0,269100.0,1259000.0,3082000.0,0.0,6.001E7,6.017E7,
1.172E7,7009000.0,4389000.0,9341000.0,1237000.0,245500.0,279900.0,1276000.0,3054000.0,0.0,6.001E7,6.019E7,
8371000.0,4724000.0,4380000.0,9343000.0,1237000.0,245500.0,324200.0,1252000.0,3034000.0,0.0,6.001E7,6.577E7,
8325000.0,4709000.0,4383000.0,9372000.0,1243000.0,245500.0,318100.0,1289000.0,2996000.0,0.0,6.001E7,6.577E7,
8185000.0,4711000.0,4391000.0,9412000.0,1249000.0,239500.0,318100.0,1307000.0,2978000.0,0.0,6.001E7,6.581E7,
8095000.0,4728000.0,4392000.0,9430000.0,1249000.0,239500.0,318100.0,1333000.0,2936000.0,0.0,6.001E7,6.584E7,
7989000.0,4713000.0,4394000.0,9483000.0,1249000.0,245500.0,318100.0,1378000.0,2884000.0,0.0,6.001E7,6.589E7,
7841000.0,4732000.0,4394000.0,9545000.0,1253000.0,241600.0,350100.0,1346000.0,2884000.0,0.0,6.001E7,6.593E7,
1.374E7,4731000.0,4398000.0,9551000.0,1253000.0,241600.0,355000.0,1395000.0,2838000.0,0.0,6.001E7,5.997E7,
1.363E7,4723000.0,4402000.0,9558000.0,1253000.0,241600.0,355000.0,1428000.0,2806000.0,0.0,6.001E7,6.003E7,
1.356E7,4735000.0,4395000.0,9576000.0,1253000.0,245300.0,357000.0,1422000.0,2834000.0,0.0,6.001E7,6.003E7,
1.349E7,4725000.0,4387000.0,9593000.0,1253000.0,245300.0,357000.0,1428000.0,2805000.0,0.0,6.001E7,6.008E7,
1.358E7,4711000.0,4392000.0,9583000.0,1245000.0,237800.0,357000.0,1434000.0,2968000.0,0.0,6.001E7,5.999E7,
1.351E7,4698000.0,4397000.0,9571000.0,1239000.0,236300.0,357000.0,1467000.0,2923000.0,0.0,6.001E7,6.004E7,
1.348E7,4704000.0,4403000.0,9589000.0,1239000.0,236300.0,357000.0,1467000.0,2923000.0,0.0,6.001E7,6.004E7,
1.345E7,4685000.0,4407000.0,9579000.0,1250000.0,225100.0,357000.0,1467000.0,2923000.0,0.0,6.001E7,6.004E7,
1.338E7,4667000.0,4403000.0,9590000.0,1246000.0,223900.0,363500.0,1472000.0,2910000.0,0.0,6.001E7,6.007E7,
1.325E7,4644000.0,4404000.0,9633000.0,1239000.0,222300.0,369500.0,1479000.0,2892000.0,0.0,6.001E7,6.015E7,
1.335E7,4651000.0,4415000.0,9656000.0,1239000.0,222300.0,369400.0,1533000.0,2854000.0,0.0,6.001E7,5.999E7,
1.332E7,4647000.0,4415000.0,9641000.0,1239000.0,222300.0,369400.0,1553000.0,2834000.0,0.0,6.001E7,5.999E7,
1.329E7,4634000.0,4415000.0,9645000.0,1231000.0,222300.0,384700.0,1592000.0,2973000.0,0.0,6.001E7,6.0E7,
1.32E7,4630000.0,4420000.0,9649000.0,1214000.0,222300.0,397800.0,1632000.0,2908000.0,0.0,6.001E7,6.006E7,
1.308E7,4636000.0,4418000.0,9671000.0,1214000.0,222300.0,405900.0,1638000.0,2893000.0,0.0,6.001E7,6.01E7,
1.317E7,4637000.0,4425000.0,9687000.0,1214000.0,222300.0,720400.0,1378000.0,3015000.0,0.0,6.001E7,5.998E7,
1.308E7,4634000.0,4430000.0,9706000.0,1214000.0,222300.0,720400.0,1448000.0,2946000.0,0.0,6.001E7,6.003E7,
1.308E7,4627000.0,4436000.0,9720000.0,1214000.0,222300.0,735100.0,1477000.0,2929000.0,0.0,6.001E7,5.998E7,
