entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.441,0.2355,0.126,0.03125,0.02655,0.03145,0.009047,0.00208,0.001496,0.002906,0.01096,0.0,0.3789,0.3794,
1.444,0.2343,0.126,0.03127,0.02654,0.03154,0.008994,0.002079,0.001495,0.002904,0.01183,0.0,0.3787,0.3787,
1.445,0.2382,0.1254,0.03131,0.02653,0.03196,0.00903,0.002043,0.001495,0.002942,0.01179,0.0,0.3787,0.3788,
1.444,0.2401,0.125,0.03143,0.02656,0.03195,0.008815,0.002081,0.001457,0.002943,0.01179,0.0,0.3787,0.3793,
1.442,0.2378,0.1238,0.03133,0.02661,0.03185,0.008818,0.002082,0.001457,0.002944,0.0117,0.0,0.3789,0.3805,
1.447,0.2359,0.1251,0.03129,0.02663,0.03186,0.00881,0.00208,0.001456,0.003241,0.01242,0.0,0.3785,0.3786,
1.446,0.2373,0.1242,0.03139,0.02663,0.03177,0.008738,0.00208,0.001457,0.003384,0.01228,0.0,0.3787,0.3794,
1.449,0.2344,0.1246,0.03141,0.02662,0.03209,0.008764,0.002048,0.001507,0.003398,0.01274,0.0,0.3785,0.3783,
1.45,0.238,0.1238,0.03171,0.02664,0.03251,0.008784,0.002029,0.001507,0.003436,0.0127,0.0,0.3785,0.3784,
1.45,0.2312,0.123,0.03178,0.0267,0.03266,0.008704,0.001999,0.001507,0.003505,0.01264,0.0,0.3786,0.379,
1.45,0.2304,0.1227,0.03172,0.02675,0.03283,0.008587,0.001999,0.001507,0.003855,0.01229,0.0,0.3787,0.3791,
1.449,0.2269,0.1219,0.0317,0.02663,0.03304,0.00854,0.002,0.001507,0.003856,0.01229,0.0,0.3787,0.3798,
1.454,0.2261,0.1231,0.03175,0.02664,0.03298,0.008593,0.001938,0.001506,0.003992,0.01314,0.0,0.3784,0.378,
1.454,0.2283,0.1225,0.03185,0.02666,0.03327,0.008564,0.001931,0.001497,0.004093,0.01301,0.0,0.3785,0.3781,
1.454,0.2274,0.122,0.03187,0.02669,0.03318,0.008564,0.001931,0.001497,0.00413,0.01313,0.0,0.3785,0.3785,
1.454,0.2289,0.1216,0.03198,0.02672,0.03323,0.008565,0.001931,0.001497,0.004131,0.01322,0.0,0.3785,0.3786,
1.455,0.23,0.1209,0.03255,0.02675,0.03325,0.008454,0.00197,0.001459,0.004131,0.01322,0.0,0.3785,0.3787,
